tweet_id,keyword,text,created_at,user_id,username,name,followers,verified,likes,retweets,replies,hashtags,media_count,media_info,is_reply,is_retweet
2021876762737881531,timeline,RT @BardisMedia: Cardi B ate this.🙂‍↕️#LittleMissDramaTour https://t.co/ueBwVnh5M2,Thu Feb 12 09:19:19 +0000 2026,866953267,,Cardi B,37093310,False,0,654,0,LittleMissDramaTour,1,"[{""type"": ""video"", ""url"": ""https://t.co/ueBwVnh5M2""}]",False,False
2021753916795363612,timeline,Major hair. Major era. Coming soon 💚 https://t.co/Wq9H1MECCX,Thu Feb 12 01:11:10 +0000 2026,866953267,,Cardi B,37093310,False,47136,4208,905,,1,"[{""type"": ""video"", ""url"": ""https://t.co/Wq9H1MECCX""}]",False,False
2021715595344195684,timeline,RT @SunnyBanks_: Bardi Gang so creative. This is too cute!! https://t.co/DFIv6TOxA6,Wed Feb 11 22:38:54 +0000 2026,866953267,,Cardi B,37093310,False,0,702,0,,1,"[{""type"": ""video"", ""url"": ""https://t.co/DFIv6TOxA6""}]",False,True
2021321956981608900,timeline,"RT @itsKenBarbie: That’s why I love TOMORROW. 😌💃 The Little Miss Drama tour officially kicks off in just one more day from Palm Springs, CA…",Tue Feb 10 20:34:43 +0000 2026,866953267,,Cardi B,37093310,False,0,424,0,,0,[],False,True
2021018689332826623,timeline,RT @BardiUpdatess: Cardi B with her brand new 41mm Rainbow Audemars Piguet watch flown in by Benny the Jeweler. 🔥 https://t.co/pvMHRWsj5C,Tue Feb 10 00:29:38 +0000 2026,866953267,,Cardi B,37093310,False,0,756,0,,1,"[{""type"": ""video"", ""url"": ""https://t.co/pvMHRWsj5C""}]",False,True
2020394219962278125,timeline,RT @SunnyBanks_: Cardi 😍😍😍 https://t.co/aawoAIrIbp,Sun Feb 08 07:08:13 +0000 2026,866953267,,Cardi B,37093310,False,0,256,0,,1,"[{""type"": ""video"", ""url"": ""https://t.co/aawoAIrIbp""}]",False,True
2020301632131723415,timeline,"RT @CardiAllAccess: Just popping out, just looking fine 😍 https://t.co/MoDkE01dY8",Sun Feb 08 01:00:19 +0000 2026,866953267,,Cardi B,37093310,False,0,475,0,,1,"[{""type"": ""video"", ""url"": ""https://t.co/MoDkE01dY8""}]",False,True
2019511811419377770,timeline,"RT @itsKenBarbie: The Little Miss Drama tour is just 6 days away 🥹

🔗: https://t.co/COYPajyKtr https://t.co/rmzSL1EZlO",Thu Feb 05 20:41:51 +0000 2026,866953267,,Cardi B,37093310,False,0,329,0,,2,"[{""type"": ""photo"", ""url"": ""https://t.co/rmzSL1EZlO""}, {""type"": ""photo"", ""url"": ""https://t.co/rmzSL1EZlO""}]",False,True
2019129324558057874,timeline,Free my older family members from facebook Ai 🤖 😩,Wed Feb 04 19:21:59 +0000 2026,866953267,,Cardi B,37093310,False,166355,21981,1254,,0,[],False,False
2018852461096907011,timeline,"RT @itsKenBarbie: The Little Miss Drama Tour is officially just 8 days away 💖 Y’all ready? 

🔗: https://t.co/COYPajycDT https://t.co/hgksvb…",Wed Feb 04 01:01:49 +0000 2026,866953267,,Cardi B,37093310,False,0,321,0,,0,[],False,True
2018540768840028505,timeline,https://t.co/nF8IltG0B3,Tue Feb 03 04:23:16 +0000 2026,866953267,,Cardi B,37093310,False,15524,530,368,,1,"[{""type"": ""photo"", ""url"": ""https://t.co/nF8IltG0B3""}]",False,False
2018523063365816569,timeline,RT @BardiUpdatess: Blossom burping Baby Touchdown via Cardi B’s Instagram story. 😭❤️ https://t.co/B52wEQaoSN,Tue Feb 03 03:12:55 +0000 2026,866953267,,Cardi B,37093310,False,0,542,0,,1,"[{""type"": ""video"", ""url"": ""https://t.co/B52wEQaoSN""}]",False,True
2018418636751266242,timeline,RT @BardisMedia: Cardi B turned SNL into a fashion show.😍 https://t.co/tYAU9B03vt,Mon Feb 02 20:17:58 +0000 2026,866953267,,Cardi B,37093310,False,0,1470,0,,1,"[{""type"": ""photo"", ""url"": ""https://t.co/tYAU9B03vt""}]",False,True
2018021932436734286,timeline,RT @BardiGangUpdate: Cardi B for SNL’s “Immigrant Dad Talk Show” 😭https://t.co/KzrdWRE4Gv,Sun Feb 01 18:01:36 +0000 2026,866953267,,Cardi B,37093310,False,0,1254,0,,1,"[{""type"": ""video"", ""url"": ""https://t.co/KzrdWRE4Gv""}]",False,False
2017980939591172347,timeline,RT @spin4saint: Omg if Cardi B eating like THIS for SNL  just imagine that tour… I might have to grab a ticket or two ngl 😂🔥! https://t.co/…,Sun Feb 01 15:18:42 +0000 2026,866953267,,Cardi B,37093310,False,0,2930,0,,0,[],False,True
2017845744942592030,timeline,RT @BardisMedia: Cardi B performing “Bodega Baddie” on Saturday Night Live tonight.🖤(SNL) https://t.co/2g9o3bzAss,Sun Feb 01 06:21:30 +0000 2026,866953267,,Cardi B,37093310,False,0,5780,0,,1,"[{""type"": ""video"", ""url"": ""https://t.co/2g9o3bzAss""}]",False,False
